das Unterhemd;майка
die Strümpfe;чулки
die Unterhose;трусы
die Strumpfhose;колготки
die Bluse;блузка
das Hemd;рубашка
der Knopf;пуговица
die Socken;носки
der Rock;юбка
die Hose;брюки
die Latzhose;комбинезон
das Nachthemd;ночная рубашка
der Schlafanzug;пижама
das T-Shirt;футболка
die Strickjacke;кофта
der Pullover;свитер
der Gürtel;пояс
der Reißverschluss;молния
die kurze Hose;шорты
die Jeans;джинсы
der Trainingsanzug;тренировочный костюм
das Sweatshirt;толстовка
die Jacke;куртка
die Schuhe;туфли
die Sandalen;сандали
die Turnschuhe;кеды
die Hausschuhe;тапки
die Gummisfiefel;резиновые сапоги
der Bikini;бикини
die Badehose;плавки
der Badeanzug;купальник
die Mütze;шапка
der Mantel;пальто
der Schal;шарф
die Handschuhe;рукавицы, перчатки
der Kleiderbügel;вешалка для одежды
der Regenschirm;зонт
die Regenjacke;плащ
die Brille;очки
die Armbanduhr;наручные часы
die Halskette;цепочка
der Ring;кольцо
der Ohrring;серьга
